frame_idx,filename,img_w,img_h,b_nose_x,b_nose_y,w_nose_x,w_nose_y,b_neck_x,b_neck_y,w_neck_x,w_neck_y,b_tail_x,b_tail_y,w_tail_x,w_tail_y,keypoints_per_mouse,nose_dist,neck_dist,tail_dist,b_body_len,w_body_len,min_pairwise_dist,b_orientation,w_orientation,b_facing_toward_w,w_facing_toward_b,b_nose_speed,w_nose_speed,nose_approach_velocity,relative_dist_change,nose_dist_roll5_mean,nose_dist_roll5_min,nose_dist_roll5_std,approach_in_window,is_close_interaction
27,frame_000027.jpg,1035,573,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,7,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0,0
28,frame_000028.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
29,frame_000029.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
30,frame_000030.jpg,1035,573,,,,,,,,,,,0.0,0.0,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
31,frame_000031.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
32,frame_000032.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
33,frame_000033.jpg,1035,573,,,483.159609375,187.53,,,526.7267578125,221.8546875,,,689.0876953125,273.34171875,7,,,,,223.09197128698176,,,-2.746766986112773,,,0.0,0.0,0.0,0.0,,,0.0,0,0
34,frame_000034.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
35,frame_000035.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
36,frame_000036.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
37,frame_000037.jpg,1035,573,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,7,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
38,frame_000038.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
39,frame_000039.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
40,frame_000040.jpg,1035,573,,,,,,,,,0.0,0.0,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
41,frame_000041.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
42,frame_000042.jpg,1035,573,244.9597265625,240.4353515625,,,305.58234375,216.1969921875,,,444.061171875,221.15109375,,,7,,,,200.03316756204555,,,3.0450373926212957,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
43,frame_000043.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
44,frame_000044.jpg,1035,573,0.0,0.0,,,579.1823437500001,403.8338671875,0.0,0.0,738.4528125,420.95390625,,,7,,706.0693872413352,,850.008674941788,,706.0693872413352,-2.6234875314580597,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
45,frame_000045.jpg,1035,573,,,888.8504296875,218.4369140625,,,845.546015625,188.3738671875,,,738.0431249999999,357.2319140625,7,,,,,204.9558371262172,,,-0.7439433039758491,,,0.0,0.0,0.0,0.0,,,0.0,0,0
46,frame_000046.jpg,1035,573,,,,,454.5594140625,380.8824609375,,,334.63007812499995,384.5518359375,801.2596874999999,328.8521484375,7,,,469.94217466946156,,,469.94217466946156,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
47,frame_000047.jpg,1035,573,302.799140625,154.866328125,,,353.0949609375,168.46171875,,,480.6858984375,274.780078125,,,7,,,,214.52973230791466,,,-2.5484604284629673,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
48,frame_000048.jpg,1035,573,0.0,0.0,,,0.0,0.0,,,747.586171875,430.069453125,,,7,,,,862.464387027055,,,-2.6195499012908963,,,,340.10424747444523,0.0,0.0,0.0,,,0.0,0,0
49,frame_000049.jpg,1035,573,,,,,,,,,577.0715625,314.021015625,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
50,frame_000050.jpg,1035,573,0.0,0.0,,,,,0.0,0.0,,,703.6672265625,159.89167968750002,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
51,frame_000051.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
52,frame_000052.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
53,frame_000053.jpg,1035,573,,,0.0,0.0,,,844.3592578125,256.8740625,,,696.2349609375,238.211015625,7,,,,,735.8584162709129,,,-2.8119356241120914,,,0.0,0.0,0.0,0.0,,,0.0,0,0
54,frame_000054.jpg,1035,573,278.8880859375,150.55125,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
55,frame_000055.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
56,frame_000056.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
57,frame_000057.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
58,frame_000058.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
59,frame_000059.jpg,1035,573,0.0,0.0,284.3743359375,449.5630078125,0.0,0.0,331.094296875,418.6627734375,0.0,0.0,390.0692578125,311.54953125000003,7,531.9545666063184,533.7620736672194,499.21652247545785,0.0,173.83652154547408,499.21652247545785,0.0,2.224352175512591,0.6632089981010081,-0.19096211270651706,0.0,0.0,0.0,0.0,531.9545666063184,531.9545666063184,0.0,0,0
60,frame_000060.jpg,1035,573,,,,,0.0,0.0,,,633.74203125,293.8238671875,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,531.9545666063184,531.9545666063184,0.0,0,0
61,frame_000061.jpg,1035,573,,,685.963828125,82.75464843750001,,,698.5171875000001,149.5715625,0.0,0.0,0.0,0.0,7,,,0.0,,690.9375553072208,0.0,,0.1200597530707478,,,0.0,0.0,0.0,0.0,531.9545666063184,531.9545666063184,0.0,0,0
62,frame_000062.jpg,1035,573,0.0,0.0,,,777.4688671875,167.165859375,,,629.5449609375,169.41691406249998,,,7,,,,651.9424427142775,,,-2.878710429092306,,,,0.0,0.0,0.0,0.0,531.9545666063184,531.9545666063184,0.0,0,0
63,frame_000063.jpg,1035,573,0.0,0.0,,,312.2731640625,376.9058203125,,,423.1960546875,285.9106640625,,,7,,,,510.7247874616281,,,-2.547431865503754,,,,0.0,0.0,0.0,0.0,531.9545666063184,531.9545666063184,0.0,0,0
64,frame_000064.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
65,frame_000065.jpg,1035,573,347.134453125,500.134921875,,,331.174453125,432.1646484375,,,269.0578125,282.332578125,,,7,,,,231.37377283149132,,,1.2265916591958497,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
66,frame_000066.jpg,1035,573,,,,,,,,,,,794.17921875,147.90386718750003,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
67,frame_000067.jpg,1035,573,,,,,0.0,0.0,,,150.2194921875,276.4566796875,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
68,frame_000068.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
69,frame_000069.jpg,1035,573,0.0,0.0,,,0.0,0.0,,,330.4463671875,118.6201171875,,,7,,,,351.09191643926,,,-2.79694977637658,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
70,frame_000070.jpg,1035,573,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,7,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0,0
71,frame_000071.jpg,1035,573,,,,,,,0.0,0.0,,,422.009296875,289.40636718750005,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
72,frame_000072.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
73,frame_000073.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
74,frame_000074.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
75,frame_000075.jpg,1035,573,0.0,0.0,,,0.0,0.0,,,719.7563671875,328.8254296875,,,7,,,,791.3124486042896,,,-2.7130514472008214,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
76,frame_000076.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
77,frame_000077.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
78,frame_000078.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
79,frame_000079.jpg,1035,573,,,,,,,,,,,0.0,0.0,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
80,frame_000080.jpg,1035,573,,,,,,,,,0.0,0.0,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
81,frame_000081.jpg,1035,573,446.902265625,250.661953125,,,518.5641796875,273.1391015625,,,675.6258984375,270.0575390625,,,7,,,,229.54452500725498,,,-3.056995820998771,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
82,frame_000082.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
83,frame_000083.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
84,frame_000084.jpg,1035,573,0.0,0.0,,,0.0,0.0,,,515.613984375,156.7967578125,,,7,,,,538.9276427718052,,,-2.8463812314303913,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
85,frame_000085.jpg,1035,573,,,,,,,0.0,0.0,,,0.0,0.0,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
86,frame_000086.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
87,frame_000087.jpg,1035,573,,,0.0,0.0,,,0.0,0.0,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
88,frame_000088.jpg,1035,573,,,0.0,0.0,,,792.384609375,436.63781250000005,,,690.381328125,330.31945312500005,7,,,,,765.3347759878927,,,-2.695325523747571,,,0.0,0.0,0.0,0.0,,,0.0,0,0
89,frame_000089.jpg,1035,573,,,,,,,0.0,0.0,,,574.3039453125,207.484453125,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
90,frame_000090.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
91,frame_000091.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
92,frame_000092.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
93,frame_000093.jpg,1035,573,419.6090625,482.1999609375,,,504.9064453125,505.8282421875,,,667.7438671875,494.4772265625,,,7,,,,248.4383475805025,,,-3.092154761550301,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
94,frame_000094.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
95,frame_000095.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
96,frame_000096.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
97,frame_000097.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
98,frame_000098.jpg,1035,573,0.0,0.0,443.0480859375,252.0891796875,,,474.3802734375,294.9282421875,,,549.586875,390.3253125,7,509.74558455017444,,,,174.5271955594858,509.74558455017444,,-2.2274152606587365,,,0.0,0.0,0.0,0.0,509.74558455017444,509.74558455017444,0.0,0,0
99,frame_000099.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,509.74558455017444,509.74558455017444,0.0,0,0
100,frame_000100.jpg,1035,573,,,0.0,0.0,,,725.1713671875,475.38,0.0,0.0,565.25296875,491.43796875,7,,,749.0141492721045,,749.0141492721045,749.0141492721045,,-2.425936060438102,,,0.0,0.0,0.0,0.0,509.74558455017444,509.74558455017444,0.0,0,0
101,frame_000101.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,509.74558455017444,509.74558455017444,0.0,0,0
102,frame_000102.jpg,1035,573,,,0.0,0.0,,,346.136953125,328.72746093750004,,,474.0062109375,303.9413671875,7,,,,,563.0828026987971,,,-2.5714157866946894,,,0.0,0.0,0.0,0.0,509.74558455017444,509.74558455017444,0.0,0,0
103,frame_000103.jpg,1035,573,576.58171875,417.716484375,,,595.7746875,376.159921875,,,0.0,0.0,,,7,,,,711.9926542565687,,,0.6269610776265396,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
104,frame_000104.jpg,1035,573,275.661796875,475.099453125,777.4599609375,146.41207031250002,242.071875,418.81640625,708.7059375,132.093046875,159.88500000000002,296.787421875,593.1874218749999,169.1764453125,7,599.863978812386,547.6838806250731,451.70294457970425,212.60161613481677,185.67332986102565,451.70294457970425,0.994918108780397,-0.1229137004317927,0.12160145451670921,-0.945697882430318,306.34229953406634,0.0,0.0,0.0,599.863978812386,599.863978812386,0.0,0,0
105,frame_000105.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,599.863978812386,599.863978812386,0.0,0,0
106,frame_000106.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,599.863978812386,599.863978812386,0.0,0,0
107,frame_000107.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,599.863978812386,599.863978812386,0.0,0,0
108,frame_000108.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,599.863978812386,599.863978812386,0.0,0,0
109,frame_000109.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
110,frame_000110.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
111,frame_000111.jpg,1035,573,,,,,,,,,0.0,0.0,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
112,frame_000112.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
113,frame_000113.jpg,1035,573,0.0,0.0,,,81.35859375,295.113046875,,,0.0,0.0,832.017421875,273.27046875,7,,,875.7452479998772,0.0,,875.7452479998772,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
114,frame_000114.jpg,1035,573,,,,,,,,,543.0652734375,224.045625,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
115,frame_000115.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
116,frame_000116.jpg,1035,573,,,0.0,0.0,,,259.2631640625,308.695078125,,,183.2260546875,202.951171875,7,,,,,273.4245147783617,,,-2.305160952526788,,,0.0,0.0,0.0,0.0,,,0.0,0,0
117,frame_000117.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
118,frame_000118.jpg,1035,573,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0,0
119,frame_000119.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
120,frame_000120.jpg,1035,573,505.5254296875,240.7248046875,,,562.451953125,237.8124609375,,,683.15390625,291.835546875,,,7,,,,184.83555841036568,,,-2.8614215615556757,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
121,frame_000121.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
122,frame_000122.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
123,frame_000123.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
124,frame_000124.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
125,frame_000125.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
126,frame_000126.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
127,frame_000127.jpg,1035,573,,,348.6863671875,115.82578125,,,334.5120703125,171.22933593750005,,,147.9127734375,209.1922265625,7,,,,,221.42115765568136,,,-0.43528520980288654,,,0.0,0.0,0.0,0.0,,,0.0,0,0
128,frame_000128.jpg,1035,573,,,,,,,0.0,0.0,,,746.6621484375,245.255859375,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
129,frame_000129.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
130,frame_000130.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
131,frame_000131.jpg,1035,573,,,,,,,0.0,0.0,,,131.34269531249998,247.24640625,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
132,frame_000132.jpg,1035,573,,,,,,,205.7900390625,223.5357421875,,,330.6734765625,158.028046875,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
133,frame_000133.jpg,1035,573,0.0,0.0,691.73953125,362.7983203125,0.0,0.0,665.0475,317.17160156250003,0.0,0.0,532.5982031249999,215.6670703125,7,781.1057548856884,736.8079818337823,574.6069362522136,0.0,216.73386224573088,574.6069362522136,0.0,0.7462045540574004,0.9041614003874041,-0.9539007507444431,0.0,0.0,0.0,0.0,781.1057548856884,781.1057548856884,0.0,0,0
134,frame_000134.jpg,1035,573,,,,,,,,,828.606328125,135.35496093749998,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,781.1057548856884,781.1057548856884,0.0,0,0
135,frame_000135.jpg,1035,573,,,,,,,,,,,671.2262109375,153.9534375,7,,,,,,,,,,,0.0,0.0,0.0,0.0,781.1057548856884,781.1057548856884,0.0,0,0
136,frame_000136.jpg,1035,573,,,259.9088671875,365.8487109375,,,326.63449218750003,385.0016015625,,,0.0,0.0,7,,,,,448.7737721138792,,,0.953106483446277,,,0.0,0.0,0.0,0.0,781.1057548856884,781.1057548856884,0.0,0,0
137,frame_000137.jpg,1035,573,,,0.0,0.0,,,292.11164062499995,478.635234375,,,133.3243359375,434.7162890625,7,,,,,454.7016940032733,,,-1.8683818962915826,,,0.0,448.7737721138792,0.0,0.0,781.1057548856884,781.1057548856884,0.0,0,0
138,frame_000138.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
139,frame_000139.jpg,1035,573,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,7,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
140,frame_000140.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
141,frame_000141.jpg,1035,573,737.900625,532.6850390625,0.0,0.0,756.0404296875,474.0730078125,171.64347656249998,415.565625,,,98.1179296875,346.7448046875,7,910.0827892100848,587.3184082466272,,,360.3596643687161,587.3184082466272,,-1.8465557854840857,,,0.0,0.0,0.0,0.0,910.0827892100848,910.0827892100848,0.0,0,0
142,frame_000142.jpg,1035,573,330.07675781250003,185.3145703125,0.0,0.0,345.74953125,272.2351171875,0.0,0.0,443.989921875,363.20578125,,,7,378.539503906948,440.062151735055,,211.23799818105678,,378.539503906948,-2.140359877360361,,,,535.7112554421107,0.0,-531.5432853031368,531.5432853031368,644.3111465585164,378.539503906948,375.8578615320237,1,0
143,frame_000143.jpg,1035,573,,,,,,,,,,,0.0,0.0,7,,,,,,,,,,,0.0,0.0,0.0,0.0,644.3111465585164,378.539503906948,375.8578615320237,0,0
144,frame_000144.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,644.3111465585164,378.539503906948,375.8578615320237,0,0
145,frame_000145.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,644.3111465585164,378.539503906948,375.8578615320237,0,0
146,frame_000146.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,378.539503906948,378.539503906948,0.0,1,0
147,frame_000147.jpg,1035,573,766.6477734375001,428.31046875,,,807.80578125,435.056953125,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
